gender,age,remuneration (k£),spending_score (1-100),loyalty_points,education,language,platform,product,review,summary
Male,18,12.3,39,210,graduate,EN,Web,453,"When it comes to a DM's screen, the space on the screen itself is at an absolute premium. The fact that 50% of this space is wasted on art (and not terribly informative or needed art as well) makes it completely useless. The only reason that I gave it 2 stars and not 1 was that, technically speaking, it can at least still stand up to block your notes and dice rolls. Other than that, it drops the ball completely.",The fact that 50% of this space is wasted on art (and not terribly informative or needed art ...
Male,23,12.3,81,524,graduate,EN,Web,466,"An Open Letter to GaleForce9*:

Your unpainted miniatures are very not bad. Your spell cards are great. Your board games are ""meh"". Your DM screens, however, are freaking terrible. I'm still waiting for a single screen that isn't polluted with pointless artwork where useful, reference-able tables should be. Once again, you've created a single use screen that is only useful when running the ""Storm King's Thunder"" adventure. Even despite the fact that it's geared to that adventure path, it's usefulness negligible, at best. I massive swath of the inner panel is wasted on artwork and a bloated overland map, which could have been easily reduced to a single panel in size. And the few table you have are nigh-useless themselves.

In short, stop making crap DM screens.",Another worthless Dungeon Master's screen from GaleForce9
Female,22,13.12,6,40,graduate,EN,Web,254,"Nice art, nice printing.  Why two panels are filled with a general Forgotten Realms map is beyond me.  Most of one of them is all blue ocean.  Such a waste.

I don't understand why they can't make these DM Screens more useful for these ""kinds of adventures"" rather than solely the specific adventure.  You're supposed to be able to transpose this adventure to other lands outside the Forgotten Realms.  So even just a list of new monsters or NPCs would at least be useful than the map.  Even more would just be stuff related to running the game but broad-use stuff related to giants.

Same thing with Curse of Strahd.  Why not make it useful for raven loft, undead or horror campaigns in general... instead a huge amount of screen space is solely mapping out Castle Ravenloft, which is only useful during a small fraction of the time even for the Curse of Strahd adventure, let alone various other Ravenloft adventuring.

They really kill the extended use of these screens by not thinking about their potential use, both for the adventure in question, as well as use in a broader sense.

The Rage of Demons screen is far more useful for broad under dark adventuring - covering a lot of rules for the various conditions you may suffer... and the map is only one panel.

This Storm Giants one is decent for a few tables it includes - but really misses the mark.  Maybe they should ask a few DMs what they would use?","pretty, but also pretty useless"
Female,25,13.12,77,562,graduate,EN,Web,263,Amazing buy! Bought it as a gift for our new dm and it's perfect!,Five Stars
Female,33,13.94,40,366,graduate,EN,Web,291,"As my review of GF9's previous screens these were completely unnecessary and nearly useless. Skip them, this is the definition of a waste of money.",Money trap
Female,24,13.94,76,573,PhD,EN,Web,977,Grandson loves,Five Stars
Female,37,14.76,6,61,diploma,EN,Web,979,"I have bought many gm screens over the years, but this one is the best I have ever seen. It has all the relevant information I need , and no crap filler on it. Very happy with this screen.",Best gm screen ever
Female,25,14.76,94,772,graduate,EN,Web,1012,Came in perfect condition.,Five Stars
Male,66,15.58,3,31,PhD,EN,Web,1031,Could be better but its still great. I love the things on the DM's side of the screen and I actually like the map in the middle makes it easy to reference whats around at any given time.,Great but could be even better
Female,32,15.58,72,724,PhD,EN,Web,1459,"My review will mirror others in that this kind of misses the mark and there are some lost opportunities to help DM's.  I wouldn't advise new DM's to use this by itself.  They should stick to the generic 5e DM screen and just copy/print the other useful information for SKT.
I do like that the information they did put in the screen was relevant to the game and makes accessible some of the frequently visited tables from the adventure book.  I also like the map from the perspective that it contains the page references to the cities and locations. This is pretty useful, especially during Ch 3 of the adventure.
However, there is a very Large amount of wasted space that could easily have been utilized instead of having the whole map take up 2 panels of the screen. The middle of the ocean could have contained info on the Giant hierarchy, the Giant Rune symbols, the Random encounters at Sea table from the DMG, trap tables, or any number of other usefully applicable information to the story.  I would have done away with the Sea portion of the map completely and used that space more efficiently.  In all actuality, the entire map could have been an extra insert, freeing up far more space and making this product far more appealing...or the Adventure book could have included it as a tear out.  There should have been better collaboration on this product.
On a different note, the printing on my copy of the screen was not sized correctly.  The Left and right creases are right over the edge of the words...especially on the Right side.  It is almost illegible when the screen is up and in it's general position at the gaming table.(See attached pic)

I can understand the idea and desire to produce tailored DM Screens for these adventure books, but I don't feel they've truly taken the time to get feedback on their ideas from enough sources before printing. It's coming across as licensed money grab instead of a Value Add product to the adventure line.",Another missed opportunity.  Not a value add to the product line.
Male,69,15.58,14,138,diploma,EN,Web,1463,Works very well,Five Stars
Female,37,15.58,99,1067,postgraduate,EN,Web,1473,Can't wait to use it!,Love the map!
