Ranking,Product,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales
1,107,Wii,2006.0,Sports,Nintendo,34.02,23.8,67.85
2,123,NES,1985.0,Platform,Nintendo,23.85,2.94,33.0
3,195,Wii,2008.0,Racing,Nintendo,13.0,10.56,29.37
4,231,Wii,2009.0,Sports,Nintendo,12.92,9.03,27.06
5,249,GB,1996.0,Role-Playing,Nintendo,9.24,7.29,25.72
6,254,GB,1989.0,Puzzle,Nintendo,19.02,1.85,24.81
7,263,DS,2006.0,Platform,Nintendo,9.33,7.57,24.61
8,283,Wii,2006.0,Misc,Nintendo,11.5,7.54,23.8
9,291,Wii,2009.0,Platform,Nintendo,11.96,5.79,23.47
10,326,NES,1984.0,Shooter,Nintendo,22.08,0.52,23.21
11,399,DS,2005.0,Simulation,Nintendo,7.44,9.02,20.3
12,405,DS,2005.0,Racing,Nintendo,8.04,6.21,19.2
13,453,GB,1999.0,Role-Playing,Nintendo,7.38,5.07,18.94
14,466,Wii,2007.0,Sports,Nintendo,7.33,6.58,18.63
15,486,Wii,2009.0,Sports,Nintendo,7.45,7.04,18.04
16,504,X360,2010.0,Misc,Microsoft Game Studios,12.28,4.05,17.89
17,515,PS3,2013.0,Action,Take-Two Interactive,5.75,7.6,17.55
18,518,PS2,2004.0,Action,Take-Two Interactive,7.73,0.33,17.06
19,535,SNES,1990.0,Platform,Nintendo,10.48,3.08,16.9
20,577,DS,2005.0,Misc,Nintendo,3.9,7.59,16.58
21,615,DS,2006.0,Role-Playing,Nintendo,5.26,3.71,15.06
22,618,GB,1989.0,Platform,Nintendo,8.88,2.22,14.87
23,624,NES,1988.0,Platform,Nintendo,7.82,2.82,14.17
24,515,X360,2013.0,Action,Take-Two Interactive,7.9,4.35,13.43
25,629,PS2,2002.0,Action,Take-Two Interactive,6.9,4.5,13.24
26,760,GBA,2002.0,Role-Playing,Nintendo,4.97,3.2,13.0
27,811,DS,2010.0,Role-Playing,Nintendo,4.57,2.69,12.56
28,815,DS,2005.0,Puzzle,Nintendo,2.82,4.4,12.55
29,830,PS2,2001.0,Racing,Sony Computer Entertainment,5.62,4.17,12.28
30,876,X360,2011.0,Shooter,Activision,7.4,3.51,12.1
31,930,GB,1998.0,Role-Playing,Nintendo,4.83,4.13,12.0
32,948,X360,2010.0,Shooter,Activision,7.93,3.06,12.0
33,977,3DS,2013.0,Role-Playing,Nintendo,4.24,3.32,11.77
34,978,PS4,2015.0,Shooter,Activision,4.73,4.76,11.68
35,979,PS3,2012.0,Shooter,Activision,4.09,4.82,11.5
36,979,X360,2012.0,Shooter,Activision,6.77,3.53,11.26
37,999,X360,2009.0,Shooter,Activision,6.99,2.98,11.08
38,876,PS3,2011.0,Shooter,Activision,4.54,4.77,11.04
39,1012,PS2,2001.0,Action,Take-Two Interactive,5.73,3.7,10.74
40,1031,Wii,2008.0,Fighting,Nintendo,5.54,2.14,10.69
41,948,PS3,2010.0,Shooter,Activision,4.9,3.64,10.44
42,1175,DS,2005.0,Simulation,Nintendo,2.09,2.89,10.06
43,1183,3DS,2011.0,Racing,Nintendo,3.89,3.21,10.01
44,1212,X360,2007.0,Shooter,Microsoft Game Studios,6.54,2.32,9.95
45,515,PS4,2014.0,Action,Take-Two Interactive,3.12,4.76,9.82
46,1241,DS,2009.0,Action,Nintendo,3.61,2.27,9.76
47,1307,N64,1996.0,Platform,Nintendo,5.67,2.34,9.75
48,1459,PS2,2004.0,Racing,Sony Computer Entertainment,2.47,0.01,9.56
49,1463,Wii,2007.0,Platform,Nintendo,5.05,2.79,9.45
50,1473,3DS,2014.0,Role-Playing,Nintendo,3.47,2.76,9.29
51,1497,GB,1992.0,Adventure,Nintendo,5.05,1.67,9.17
52,1501,X360,2008.0,Action,Take-Two Interactive,5.54,2.54,9.04
53,1506,PS,1997.0,Racing,Sony Computer Entertainment,3.3,3.17,8.98
54,1577,3DS,2011.0,Platform,Nintendo,4.01,2.45,8.85
55,1581,PS3,2010.0,Racing,Sony Computer Entertainment,2.43,4.0,8.83
56,999,PS3,2009.0,Shooter,Activision,4.09,3.03,8.77
57,1501,PS3,2008.0,Action,Take-Two Interactive,3.9,3.08,8.67
58,1592,SNES,1993.0,Platform,Nintendo,4.91,1.76,8.65
59,1618,GBA,2004.0,Role-Playing,Nintendo,3.56,2.17,8.6
60,1307,DS,2004.0,Platform,Nintendo,4.17,2.55,8.54
61,1940,Wii,2011.0,Misc,Ubisoft,4.96,2.58,8.41
62,1945,X360,2013.0,Shooter,Activision,5.51,2.16,8.37
63,1970,X360,2010.0,Shooter,Microsoft Game Studios,5.76,1.62,8.1
64,2079,N64,1996.0,Racing,Nintendo,4.55,1.59,8.09
65,2114,3DS,2012.0,Platform,Nintendo,3.0,2.52,8.05
66,2130,X360,2012.0,Shooter,Microsoft Game Studios,5.44,1.94,8.0
67,2139,PS,1997.0,Role-Playing,Sony Computer Entertainment,2.47,2.03,7.97
68,1945,PS3,2013.0,Shooter,Activision,3.35,3.06,7.86
69,2162,Wii,2010.0,Misc,Ubisoft,4.79,2.37,7.81
70,2173,PS,1999.0,Racing,Sony Computer Entertainment,3.18,2.8,7.78
71,2253,X360,2007.0,Shooter,Activision,4.85,1.95,7.64
72,2261,SNES,1994.0,Platform,Nintendo,3.58,1.4,7.63
73,2285,X360,2013.0,Misc,Microsoft Game Studios,4.58,2.32,7.54
74,2286,3DS,2012.0,Simulation,Nintendo,1.65,1.9,7.45
75,2296,DS,2007.0,Misc,Nintendo,3.66,1.54,7.4
76,2324,X360,2011.0,Role-Playing,Bethesda Softworks,4.12,2.35,7.25
77,2326,SNES,1992.0,Racing,Nintendo,2.9,1.02,7.18
78,2371,PS4,2015.0,Sports,Electronic Arts,0.91,4.97,6.96
79,2387,Wii,2010.0,Misc,Nintendo,1.47,2.89,6.96
80,2404,XB,2004.0,Shooter,Microsoft Game Studios,5.59,1.25,6.96
81,2457,Wii,2007.0,Misc,Nintendo,3.12,1.89,6.9
82,2495,DS,2012.0,Role-Playing,Nintendo,2.39,1.53,6.83
83,2518,PS3,2012.0,Action,Electronic Arts,0.87,4.14,6.76
84,2521,PC,2009.0,Simulation,Electronic Arts,0.8,5.26,6.65
85,2793,N64,1997.0,Shooter,Nintendo,4.76,1.65,6.63
86,2795,Wii,2007.0,Sports,Sega,2.12,3.2,6.61
87,2807,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.39,1.7,6.6
88,2811,PS,1999.0,Role-Playing,SquareSoft,1.87,1.41,6.45
89,2814,DS,2008.0,Role-Playing,Nintendo,2.31,1.46,6.43
90,2829,2600,1982.0,Puzzle,Atari,5.97,0.37,6.4
91,2849,PSP,2005.0,Action,Take-Two Interactive,2.38,2.32,6.33
92,2870,Wii,2010.0,Platform,Nintendo,3.0,1.98,6.31
93,2874,PS4,2015.0,Shooter,Electronic Arts,2.4,2.7,6.29
94,2877,PS4,2014.0,Shooter,Activision,2.3,2.71,6.23
95,3112,N64,1998.0,Action,Nintendo,3.36,1.55,6.23
96,3153,PS,1997.0,Platform,Sony Computer Entertainment,3.1,1.78,6.22
97,3158,NES,1988.0,Platform,Nintendo,4.42,0.97,6.12
98,3165,3DS,2014.0,Fighting,Nintendo,2.66,1.11,6.11
99,3267,X360,2008.0,Shooter,Activision,3.93,1.56,6.04
100,3277,X360,2011.0,Shooter,Electronic Arts,3.66,1.75,6.02
101,3403,Wii,2006.0,Action,Nintendo,3.14,1.8,5.99
102,978,XOne,2015.0,Shooter,Activision,3.71,1.71,5.99
103,3427,Wii,2009.0,Misc,Ubisoft,2.88,2.48,5.96
104,3277,PS3,2011.0,Shooter,Electronic Arts,2.34,2.4,5.93
105,3436,PS2,2003.0,Racing,Electronic Arts,2.68,2.32,5.9
106,3478,PS,1998.0,Fighting,Sony Computer Entertainment,2.68,1.82,5.87
107,3498,PS,1998.0,Platform,Sony Computer Entertainment,3.02,1.44,5.85
108,3524,GC,2001.0,Fighting,Nintendo,3.62,0.85,5.8
109,3525,WiiU,2014.0,Racing,Nintendo,2.57,1.7,5.71
110,3547,PS4,2015.0,Role-Playing,Bethesda Softworks,2.03,2.58,5.71
111,3619,GC,2003.0,Racing,Nintendo,3.38,1.45,5.7
112,3629,Wii,2012.0,Misc,Ubisoft,3.39,1.81,5.67
113,3645,PS3,2013.0,Sports,Electronic Arts,0.64,3.54,5.66
114,3657,PS2,2004.0,Racing,Electronic Arts,2.22,2.48,5.66
115,3667,PS2,2002.0,Shooter,Electronic Arts,2.4,2.26,5.6
116,3678,PS3,2011.0,Action,Sony Computer Entertainment,2.27,2.3,5.6
117,3711,PS,1996.0,Platform,Sony Computer Entertainment,2.65,1.93,5.59
118,3865,Wii,2010.0,Sports,505 Games,2.87,2.16,5.58
119,3878,X360,2008.0,Shooter,Microsoft Game Studios,3.4,1.57,5.54
120,3885,PS3,2009.0,Action,Sony Computer Entertainment,2.68,1.85,5.52
121,2253,PS3,2007.0,Shooter,Activision,2.54,1.89,5.51
